record_uid,release_id,product,split,payload,payload_sha,tokens,cik,cik10,accession,company_name,filed_at,pipeline_sha,source_url,licence,crawler_version,contract_version,jurisdiction,quality_flags
7686937651f31424c6f186a6f2829e7a,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""4"",""first_seen_at"":""2009-06-16 21:24:45"",""first_seen_source"":""sec_acceptance"",""form_type"":""4"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":""2009-06-15"",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",c5f880290a78d1e7f977c7076a5b589b95cf57ca284def81090f86cdc74724ca,2,897893,0000897893,000114420409032883,"",2009-06-16,da998b599851,https://www.sec.gov/Archives/edgar/data/897893/000114420409032883.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
03fea40307d1c648cff610bca8fd067a,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""D"",""first_seen_at"":""2025-06-03 00:00:00"",""first_seen_source"":""filed_at_fallback"",""form_type"":""D"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":"""",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",0ce38f2d2abde90e9beedfe9d09416d073aa0c1301a25641d74c4471f4dc1f15,2,2070659,0002070659,000089271225000073,"",2025-06-03,da998b599851,https://www.sec.gov/Archives/edgar/data/2070659/000089271225000073.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
61fb58db2fff5379234e79a8a8468e12,restatements-v1.5.1,restatements,test,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""SC 13G"",""first_seen_at"":""2022-02-11 19:55:05"",""first_seen_source"":""sec_acceptance"",""form_type"":""SC 13G"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":"""",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",267259b3d81924ea16b4b1d1297dbf4afaf40d31c5d2d994beb8df4d4e648ba9,5,1883799,0001883799,000135755022000091,"",2022-02-11,da998b599851,https://www.sec.gov/Archives/edgar/data/1883799/000135755022000091.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
1533d256851c2e9f5c46bd384794701e,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""13F-HR"",""first_seen_at"":""2020-07-09 00:00:00"",""first_seen_source"":""filed_at_fallback"",""form_type"":""13F-HR"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":""2020-06-30"",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",8fef8708acbd72a309fc1b8cade093bd8f08630a9aa45e4fd9fbacd4d8d60b44,2,1771687,0001771687,000108514620001710,"",2020-07-09,da998b599851,https://www.sec.gov/Archives/edgar/data/1771687/000108514620001710.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
67d93829a0d57384924925ffce4b74c2,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""NPORT-P"",""first_seen_at"":""2024-06-27 19:37:32"",""first_seen_source"":""sec_acceptance"",""form_type"":""NPORT-P"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":""2024-04-30"",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",c5769255bd879a6eb90e5d614683f4161f6f3a21c94017cabb444a4811d1b131,2,1027596,0001027596,000114554924040103,ADVISORS SERIES TRUST,2024-06-27,da998b599851,https://www.sec.gov/Archives/edgar/data/1027596/000114554924040103.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
126b6fdbe79023fe7b9bedffe0a3a3d2,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""4"",""first_seen_at"":""2010-06-16 00:00:00"",""first_seen_source"":""filed_at_fallback"",""form_type"":""4"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":""2010-06-15"",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",5fb9afc652ce79faeba29c0f5b20f8828a32b4b17ce21b4dfa3ed7c20fe1f9bd,2,1388932,0001388932,000138893210000010,"",2010-06-16,da998b599851,https://www.sec.gov/Archives/edgar/data/1388932/000138893210000010.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
2f7bd0211a1b12bc7c325d379fa7c4da,restatements-v1.5.1,restatements,validation,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""4"",""first_seen_at"":""2016-11-17 00:00:00"",""first_seen_source"":""filed_at_fallback"",""form_type"":""4"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":""2016-11-15"",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",e2ab65fd8d6c259fb4165ee538ba2504aee153f86a6121dff265fca5edc6289d,2,1597610,0001597610,000141038416000339,"",2016-11-17,da998b599851,https://www.sec.gov/Archives/edgar/data/1597610/000141038416000339.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
4c56a8dba21bc2c2e68802e1c93f25df,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""S-6"",""first_seen_at"":""2009-12-15 00:00:00"",""first_seen_source"":""filed_at_fallback"",""form_type"":""S-6"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":"""",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",40660fceb85c6b28cb79f91b5d9a5f3686608075758c13aa1cdbb6f67a9d3d7f,2,1475307,0001475307,000144554609003154,"",2009-12-15,da998b599851,https://www.sec.gov/Archives/edgar/data/1475307/000144554609003154.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
aaed988245d5f666c391a8bf49f534be,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""4"",""first_seen_at"":""2010-11-12 00:00:00"",""first_seen_source"":""filed_at_fallback"",""form_type"":""4"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":""2010-11-09"",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",271fe9a7cdf971f4815df2eab8bac9e214d8d4111d29f628e23499b05198d892,2,1215431,0001215431,000120919110054875,"",2010-11-12,da998b599851,https://www.sec.gov/Archives/edgar/data/1215431/000120919110054875.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
50418f05a35aa35262402cd242ff6794,restatements-v1.5.1,restatements,train,"{""amends_accession"":"""",""amends_identity"":"""",""base_form"":""DEF 14A"",""first_seen_at"":""2022-07-28 20:01:37"",""first_seen_source"":""sec_acceptance"",""form_type"":""DEF 14A"",""is_amendment"":false,""is_latest"":true,""is_unamended"":true,""link_basis"":"""",""link_confidence"":0,""link_state"":""not_an_amendment"",""period"":""2022-09-16"",""subject_cik"":"""",""superseded_at"":null,""version_seq"":0}",478d381bfca2b22cd6d02d0b927799c8a7d018de1a9ac9a742280eb7764ade4d,5,1736035,0001736035,000119312522204802,Blackstone Secured Lending Fund,2022-07-28,da998b599851,https://www.sec.gov/Archives/edgar/data/1736035/000119312522204802.txt,public-domain-derived,sec_edgar_crawler/v1,v2,US-SEC:UNKNOWN,[]
